Date,Open,High,Low,Close,Adj Close,Volume
2013-10-08,18.799999,18.930000,18.420000,18.530001,17.238239,93200
2013-10-09,18.530001,18.969999,18.459999,18.740000,17.433596,88200
2013-10-10,18.980000,19.459999,18.980000,19.309999,17.963858,153900
2013-10-11,19.180000,19.740000,19.180000,19.420000,18.066189,81300
2013-10-14,19.240000,19.389999,19.150000,19.200001,17.861523,80100
2013-10-15,19.139999,19.400000,19.000000,19.059999,17.731287,75800
2013-10-16,19.170000,19.420000,19.040001,19.170000,17.833616,65100
2013-10-17,19.070000,19.750000,19.030001,19.750000,18.373178,92000
2013-10-18,19.930000,19.950001,19.530001,19.680000,18.308069,62600
2013-10-21,19.650000,20.000000,19.570000,20.000000,18.605753,79000
2013-10-22,20.030001,20.030001,19.830000,19.969999,18.577843,56300
2013-10-23,19.850000,20.000000,19.850000,20.000000,18.605753,48900
2013-10-24,19.990000,20.299999,19.900000,20.080000,18.680180,98000
2013-10-25,20.170000,20.250000,20.040001,20.180000,18.773207,59900
2013-10-28,20.200001,20.200001,19.709999,19.980000,18.587152,92300
2013-10-29,19.990000,20.090000,19.799999,20.000000,18.605753,49500
2013-10-30,20.059999,20.080000,19.820000,20.049999,18.652266,72100
2013-10-31,19.990000,20.309999,19.930000,20.090000,18.689486,152300
2013-11-01,20.059999,20.350000,20.030001,20.190001,18.782507,58300
2013-11-04,20.240000,20.240000,19.820000,20.000000,18.605753,53500
2013-11-05,19.910000,19.910000,19.260000,19.660000,18.289459,105300
2013-11-06,19.330000,19.670000,18.530001,19.530001,18.168520,274800
2013-11-07,19.549999,19.629999,19.070000,19.180000,17.842920,77800
2013-11-08,19.030001,19.480000,19.000000,19.299999,17.977985,68000
2013-11-11,19.219999,19.610001,19.070000,19.420000,18.089769,33800
2013-11-12,19.370001,19.590000,18.950001,19.320000,17.996616,76000
2013-11-13,19.160000,19.500000,19.000000,19.240000,17.922098,50100
2013-11-14,19.299999,19.400000,18.830000,19.059999,17.754429,125000
2013-11-15,19.049999,19.549999,19.000000,19.500000,18.164288,61900
2013-11-18,19.510000,19.510000,18.510000,18.629999,17.353878,88800
2013-11-19,18.590000,18.969999,18.520000,18.790001,17.502920,76800
2013-11-20,18.860001,18.860001,18.200001,18.469999,17.204840,87400
2013-11-21,18.520000,18.520000,18.209999,18.250000,16.999914,147200
2013-11-22,18.309999,18.570000,18.219999,18.360001,17.102373,69800
2013-11-25,18.299999,18.879999,18.299999,18.660000,17.381826,93000
2013-11-26,18.650000,18.840000,18.580000,18.660000,17.381826,53200
2013-11-27,18.639999,18.770000,18.510000,18.719999,17.437714,34500
2013-11-29,18.790001,18.850000,18.680000,18.770000,17.484293,27700
2013-12-02,18.770000,18.940001,18.260000,18.410000,17.148947,62600
2013-12-03,18.389999,18.809999,18.320000,18.770000,17.484293,43500
2013-12-04,18.700001,18.860001,18.469999,18.510000,17.242100,23900
2013-12-05,18.450001,18.540001,18.360001,18.389999,17.130322,17600
2013-12-06,18.530001,18.530001,18.309999,18.379999,17.121008,33600
2013-12-09,18.350000,18.389999,18.200001,18.270000,17.018545,26100
2013-12-10,18.200001,18.250000,17.780001,17.870001,16.645939,70000
2013-12-11,17.900000,17.910000,17.629999,17.790001,16.571421,64200
2013-12-12,17.770000,17.770000,17.370001,17.480000,16.282656,68600
2013-12-13,17.480000,17.549999,17.450001,17.469999,16.273336,34500
2013-12-16,17.490000,17.580000,17.150000,17.200001,16.021832,68400
2013-12-17,17.129999,17.420000,16.820000,17.420000,16.226765,101000
2013-12-18,17.480000,17.950001,17.270000,17.930000,16.701830,56100
2013-12-19,17.820000,17.940001,17.270000,17.480000,16.282656,49900
2013-12-20,17.440001,18.100000,17.250000,17.940001,16.711145,116500
2013-12-23,18.090000,18.120001,17.740000,17.920000,16.692514,62200
2013-12-24,17.889999,17.959999,17.680000,17.760000,16.543474,44700
2013-12-26,17.760000,19.650000,17.690001,19.570000,18.229496,181800
2013-12-27,19.680000,20.620001,19.600000,20.440001,19.039896,213400
2013-12-30,20.590000,20.600000,19.510000,19.740000,18.387852,168500
2013-12-31,19.790001,19.950001,19.500000,19.530001,18.192234,45600
2014-01-02,19.459999,20.900000,19.420000,20.299999,18.909485,164500
2014-01-03,20.480000,20.510000,20.340000,20.370001,18.974691,145100
2014-01-06,20.370001,20.510000,19.879999,20.290001,18.900173,190500
2014-01-07,20.280001,20.570000,20.280001,20.480000,19.077154,155800
2014-01-08,20.379999,20.610001,20.379999,20.400000,19.002636,167100
2014-01-09,20.400000,20.570000,20.370001,20.480000,19.077154,195000
2014-01-10,20.500000,20.959999,20.480000,20.860001,19.431129,187500
2014-01-13,20.860001,21.670000,20.799999,21.440001,19.971397,192300
2014-01-14,21.440001,22.280001,21.299999,21.860001,20.362635,245700
2014-01-15,21.830000,21.830000,21.290001,21.719999,20.232222,171700
2014-01-16,21.620001,21.910000,21.620001,21.790001,20.297430,123700
2014-01-17,21.709999,21.840000,21.600000,21.790001,20.297430,73600
2014-01-21,21.980000,22.480000,21.440001,21.580000,20.101816,183400
2014-01-22,21.540001,21.959999,21.379999,21.920000,20.418522,230200
2014-01-23,21.920000,21.980000,21.629999,21.910000,20.409203,135800
2014-01-24,21.730000,21.900000,21.000000,21.090000,19.645378,58200
2014-01-27,21.040001,21.129999,20.420000,20.629999,19.216885,57400
2014-01-28,20.580000,20.830000,20.530001,20.799999,19.375235,83900
2014-01-29,20.559999,20.690001,20.400000,20.530001,19.123739,73500
2014-01-30,20.629999,21.090000,20.530001,21.020000,19.580168,79200
2014-01-31,20.660000,21.590000,20.480000,21.400000,19.934139,107900
2014-02-03,21.330000,21.450001,20.040001,20.160000,18.779076,109900
2014-02-04,20.299999,21.230000,20.219999,21.000000,19.561543,143700
2014-02-05,20.910000,21.330000,20.240000,20.370001,18.974691,111300
2014-02-06,20.500000,20.799999,20.230000,20.299999,18.909485,55000
2014-02-07,20.299999,20.719999,20.250000,20.610001,19.198257,101500
2014-02-10,20.639999,20.639999,20.110001,20.420000,19.021269,40900
2014-02-11,20.350000,20.940001,20.330000,20.750000,19.352360,43400
2014-02-12,20.799999,21.100000,20.799999,20.980000,19.566860,62000
