Date,Open,High,Low,Last,Close
2018-10-08,208,222.25,206.85,216,215.15
2018-10-05,217,218.6,205.9,210.25,209.2
2018-10-04,223.5,227.8,216.15,217.25,218.2
2018-10-03,230,237.5,225.75,226.45,227.6
2018-10-01,234.55,234.6,221.05,230.3,230.9
2018-09-28,234.05,235.95,230.2,233.5,233.75
2018-09-27,234.55,236.8,231.1,233.8,233.25
2018-09-26,240,240,232.5,235,234.25
2018-09-25,233.3,236.75,232,236.25,236.1
2018-09-24,233.55,239.2,230.75,234,233.3
2018-09-21,235,237,227.95,233.75,234.6
2018-09-19,235.95,237.2,233.45,234.6,234.9
2018-09-18,237.9,239.25,233.5,235.5,235.05
2018-09-17,233.15,238,230.25,236.4,236.6
2018-09-14,223.45,236.7,223.3,234,233.95
2018-09-12,216.35,223.7,212.65,221.65,222.65
2018-09-11,222.5,225.4,214.85,216.35,216
2018-09-10,222.5,235.15,220.65,221.05,222
2018-09-07,221,224.5,219.1,223.15,222.95
2018-09-06,224,225,218.2,220.95,221.05
2018-09-05,222,224.6,215.2,222.1,222.4
2018-09-04,238.2,238.2,222.6,223.45,223.7
2018-09-03,236,243.55,235.05,236.85,236.7
2018-08-31,237,239.75,232.95,234.65,234.3
2018-08-30,235.35,237.3,232.1,237.3,236
2018-08-29,233.85,237.7,232.7,234.2,234.55
2018-08-28,237,239.3,231.3,232.9,233.35
2018-08-27,231.8,239.35,231.05,236.8,237.05
2018-08-24,234.5,237.2,230.2,231.5,231
2018-08-23,240.3,240.6,233.1,235.5,235.45
2018-08-21,246.9,246.9,239.25,240.9,240.55
2018-08-20,244,247,243,244.7,245.15
2018-08-17,240.8,244.5,239.2,242.7,243
2018-08-16,236.05,242,235.95,240.35,239.35
2018-08-14,235,238.5,235,237.4,237.55
2018-08-13,233,236.45,232.25,235.2,234.55
2018-08-10,237.3,237.95,231.1,233.65,233.55
2018-08-09,236.65,239.85,235.3,237.25,237.3
2018-08-08,237.25,240.5,235.05,236.35,236.35
2018-08-07,241,241.55,235.3,237.5,237.6
2018-08-06,235.15,240.45,234.15,240,239.5
2018-08-03,236,239,232,235.2,234.65
2018-08-02,232.5,238.05,230.4,235,235.45
2018-08-01,248.7,254.95,234.35,235.1,235.65
2018-07-31,243.4,249.65,241.5,247.1,246.9
2018-07-30,243.7,247,240.9,243.65,242.2
2018-07-27,241,243.95,239.15,242.5,242.25
2018-07-26,235.9,242.95,234.5,239.5,239.1
2018-07-25,248.5,248.5,235.8,236.05,236.9
2018-07-24,244,249.2,241.9,246.3,246.3
2018-07-23,238.9,244.25,235.25,243.05,243.3
2018-07-20,231.25,240.95,231.25,238.9,238.6
2018-07-19,239.7,243.3,228.6,232.5,233.1
2018-07-18,248.4,249.6,232.7,238.1,238.65
2018-07-17,241.55,251.85,240.3,247.5,247.9
2018-07-16,257.9,257.9,242.1,243.9,243.25
2018-07-13,265,265.75,257.55,258.3,258.9
2018-07-12,270.4,272.45,264.35,264.5,265.2
2018-07-11,274.8,275.45,267.45,270,269.8
2018-07-10,275.9,277.8,272.55,274.55,274.75
2018-07-09,268.25,276.2,267,275.3,275.25
2018-07-06,269.8,273.25,265.7,266.2,266.3
2018-07-05,277.45,282.4,270,271.8,271.25
2018-07-04,281,281,275.35,277.7,277.3
2018-07-03,264.5,284.5,262.7,280.1,281
2018-07-02,271,273.1,263.25,264.5,264.45
2018-06-29,262.7,270.15,262.7,269.2,269.35
2018-06-28,263,268.25,261.45,265.05,263.95
2018-06-27,265.1,268.4,261.2,263.15,265.6
2018-06-26,264.8,269.7,263.3,264.6,267.35
2018-06-25,260.1,266.95,260.1,264.55,264.5
2018-06-22,257.9,263.55,256.45,261.95,262.1
2018-06-21,258.05,262.35,255.5,258.15,258.2
2018-06-20,263.7,264.75,257,260.55,260.85
2018-06-19,274.65,274.65,266.05,267,267.05
2018-06-18,271.55,276.85,269.15,274.9,275.35
2018-06-15,279.15,281,271.45,272.2,272.15
2018-06-14,269.8,278.75,268.2,278,277.8
2018-06-13,267,270.5,265.35,270,269.6
2018-06-12,262.75,268.4,262.75,267.2,267.6
2018-06-11,265.6,271.25,262.7,263.25,263.7
2018-06-08,263.7,269.35,263.55,266.7,266.95
2018-06-07,266.9,269.7,263.3,267,267.1
2018-06-06,262.75,266.7,260.35,265.55,265.75
2018-06-05,255.5,264.7,254.8,264.2,263.75
2018-06-04,265,265.4,253.5,255.5,255.25
2018-06-01,269.7,269.7,258.55,265.1,263.25
2018-05-31,267,272,260.7,269.05,269.2
2018-05-30,254,266,253.2,265.7,264.5
2018-05-29,257.4,262.7,257,257.9,257.5
2018-05-28,254.7,262.2,254.65,260.7,260.65
2018-05-25,252.2,259.4,252.2,258.5,257.85
2018-05-24,251,255.5,247.3,255,254.5
2018-05-23,246.5,252.35,245.55,250,250.2
2018-05-22,244,251.1,244,247.6,247.15
2018-05-21,244.1,248.35,240.55,244,243.55
2018-05-18,248.3,248.95,243.35,245.1,244.7
2018-05-17,243.5,249.3,242.5,247.5,247.5
2018-05-16,240,245.6,237.25,241.4,241.1
